id,category,term,origin,relation,definition,example,exampleSource,otherMeanings,sourcePages,dictionaryCode
relation-387475-1,어휘 관계,갈다,,동음이의어 안에서 다의 관계,쟁기나 트랙터 따위의 농기구나 농기계로 땅을 파서 뒤집다.,경운기로 논도 갈고 지게질로 객토도 했다.,표준국어대사전 용례,날카롭게 날을 세우거나 표면을 매끄럽게 하기 위하여 다른 물건에 대고 문지르다. | 잘게 부수기 위하여 단단한 물건에 대고 문지르거나 단단한 물건 사이에 넣어 으깨다. | 먹을 풀기 위하여 벼루에 대고 문지르다. | 윗니와 아랫니를 맞대고 문질러 소리를 내다.,1,387475
relation-387475-2,어휘 관계,갈다,,동음이의어 안에서 다의 관계,주로 밭작물의 씨앗을 심어 가꾸다.,밭에 보리를 갈다.,표준국어대사전 용례,날카롭게 날을 세우거나 표면을 매끄럽게 하기 위하여 다른 물건에 대고 문지르다. | 잘게 부수기 위하여 단단한 물건에 대고 문지르거나 단단한 물건 사이에 넣어 으깨다. | 먹을 풀기 위하여 벼루에 대고 문지르다. | 윗니와 아랫니를 맞대고 문질러 소리를 내다.,1,387475
relation-7335-1,어휘 관계,갈다,,동음이의어 안에서 다의 관계,날카롭게 날을 세우거나 표면을 매끄럽게 하기 위하여 다른 물건에 대고 문지르다.,기계로 칼을 갈다.,표준국어대사전 용례,쟁기나 트랙터 따위의 농기구나 농기계로 땅을 파서 뒤집다. | 주로 밭작물의 씨앗을 심어 가꾸다.,1,7335
relation-7335-2,어휘 관계,갈다,,동음이의어 안에서 다의 관계,잘게 부수기 위하여 단단한 물건에 대고 문지르거나 단단한 물건 사이에 넣어 으깨다.,고기를 갈다.,표준국어대사전 용례,쟁기나 트랙터 따위의 농기구나 농기계로 땅을 파서 뒤집다. | 주로 밭작물의 씨앗을 심어 가꾸다.,1,7335
relation-7335-3,어휘 관계,갈다,,동음이의어 안에서 다의 관계,먹을 풀기 위하여 벼루에 대고 문지르다.,벼루에 먹을 갈다.,표준국어대사전 용례,쟁기나 트랙터 따위의 농기구나 농기계로 땅을 파서 뒤집다. | 주로 밭작물의 씨앗을 심어 가꾸다.,1,7335
relation-7335-4,어휘 관계,갈다,,동음이의어 안에서 다의 관계,윗니와 아랫니를 맞대고 문질러 소리를 내다.,자면서 뽀드득뽀드득 이를 갈다.,표준국어대사전 용례,쟁기나 트랙터 따위의 농기구나 농기계로 땅을 파서 뒤집다. | 주로 밭작물의 씨앗을 심어 가꾸다.,1,7335
confusable-57495-8,어휘 관계,나다,,혼동하기 쉬운 어휘: 낫다 / 나다 / 낳다,인물이 배출되다.,어머니는 우리 집에 천재가 났다면서 좋아하셨다.,표준국어대사전 용례,낫다: 병이나 상처 따위가 고쳐져 본래대로 되다. | 낳다: 어떤 결과를 이루거나 가져오다.,24,57495
relation-57495-30,어휘 관계,나다,,다의 관계,(동사 뒤에서 ‘-어 나다’ 구성으로 쓰여) 앞말이 뜻하는 행동을 끝내어 이루었음을 나타내는 말.,겪어 나다.,표준국어대사전 용례,,"4,5,23,24",57495
relation-57495-31,어휘 관계,나다,,다의 관계,(동사 뒤에서 ‘-고 나다’ 구성으로 쓰여) 앞말이 뜻하는 행동이 끝났음을 나타내는 말.,아이들이 모두 집에 돌아가고 나니 마음이 허전했다.,표준국어대사전 용례,,"4,5,23,24",57495
confusable-403928-1,어휘 관계,낫다,,혼동하기 쉬운 어휘: 낫다 / 나다 / 낳다,병이나 상처 따위가 고쳐져 본래대로 되다.,병이 씻은 듯이 나았다.,표준국어대사전 용례,나다: 인물이 배출되다. | 낳다: 어떤 결과를 이루거나 가져오다.,24,403928
relation-410752-1,어휘 관계,낮다,,다의 관계,아래에서 위까지의 높이가 기준이 되는 대상이나 보통 정도에 미치지 못하는 상태에 있다.,저 산은 낮지만 험하다.,표준국어대사전 용례,,1,410752
relation-410752-2,어휘 관계,낮다,,다의 관계,높낮이로 잴 수 있는 수치나 정도가 기준이 되는 대상이나 보통 정도에 미치지 못하는 상태에 있다.,온도가 낮다.,표준국어대사전 용례,,1,410752
relation-410752-3,어휘 관계,낮다,,다의 관계,"품위, 능력, 품질 따위가 바라는 기준보다 못하거나 보통 정도에 미치지 못하는 상태에 있다.",질이 낮은 물건.,표준국어대사전 용례,,1,410752
relation-410752-4,어휘 관계,낮다,,다의 관계,지위나 계급 따위가 기준이 되는 대상이나 보통 정도에 미치지 못하는 상태에 있다.,소령은 대령보다 계급이 낮다.,표준국어대사전 용례,,1,410752
relation-410752-5,어휘 관계,낮다,,다의 관계,소리가 음계에서 아래쪽이거나 진동수가 작은 상태에 있다.,콘트라베이스의 낮은 선율이 흘렀다.,표준국어대사전 용례,,1,410752
confusable-405847-2,어휘 관계,낳다,,혼동하기 쉬운 어휘: 낫다 / 나다 / 낳다,어떤 결과를 이루거나 가져오다.,많은 이익을 낳는 유망 사업.,표준국어대사전 용례,낫다: 병이나 상처 따위가 고쳐져 본래대로 되다. | 나다: 인물이 배출되다.,24,405847
relation-406858-1,어휘 관계,누르다,,동음이의어 안에서 다의 관계,물체의 전체 면이나 부분에 대하여 힘이나 무게를 가하다.,초인종을 누르다.,표준국어대사전 용례,황금이나 놋쇠의 빛깔과 같이 다소 밝고 탁하다.,1,406858
